player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0039424,2026,2,NO,BAL,WR,65.0,67.70833333333334,,34,7,32,5,64,69,192,0,27,0,0,0,1.0,3.0,,6.0,,3.0,0,0,0,0
00-0039451,2026,2,NYJ,GB,WR,61.0,74.39024390243902,,41,6,36,6,34,2,255,1,27,14,0,0,1.0,6.0,0.0,2.0,0.0,1.0,0,0,0,0
00-0039491,2026,2,CAR,ATL,WR,50.0,65.78947368421052,,36,9,32,8,66,48,291,0,22,0,0,0,4.0,17.0,,7.0,,0.0,0,0,0,0
00-0039530,2026,2,DAL,WAS,TE,21.0,55.26315789473684,,31,0,31,0,0,0,244,0,21,0,0,0,,5.0,,5.0,,1.0,0,0,0,0
00-0039589,2026,2,TB,CLE,WR,0.0,,,34,0,33,0,0,0,413,0,25,0,0,0,,9.0,,4.0,,0.0,0,0,0,0
00-0039603,2026,2,HOU,CIN,RB,0.0,,,55,0,50,0,0,0,459,0,18,0,0,0,,8.0,,2.0,,0.0,0,0,0,0
00-0039686,2026,2,WAS,DAL,TE,21.0,70.0,,35,1,34,1,14,4,361,0,32,0,0,0,0.0,6.0,,5.0,,1.0,0,0,0,0
00-0039732,2026,2,DEN,JAX,QB,62.0,62.0,,31,0,29,0,0,0,270,5,28,6,31,288,,5.0,0.0,6.0,0.0,4.0,0,0,1,0
00-0039738,2026,2,LA,NYG,RB,28.0,62.22222222222222,,31,1,30,1,13,-6,331,12,28,79,0,0,0.0,4.0,0.0,2.0,0.0,0.0,0,0,0,0
00-0039739,2026,2,PIT,NE,WR,55.0,69.62025316455696,,40,6,37,5,28,21,196,0,23,0,0,0,0.0,2.0,,0.0,,0.0,0,0,0,0
00-0039746,2026,2,PHI,TEN,RB,39.0,76.47058823529412,,37,2,34,2,5,0,303,7,32,24,0,0,0.0,4.0,4.0,7.0,0.0,1.0,0,0,0,0
